lon	lat	T	LDEO ClimateGroup PROJECTS IPCC CMIP5 pdsi-spei pdsi GFDL_ESM2M pdsi-all
degree_east	degree_north	months since 1900-01-01	unitless
   -118.7500    	    39.43820    	    1471.500    	  -0.4699257    
   -121.2500    	    41.46067    	    1471.500    	  -4.5849256E-02
   -118.7500    	    41.46067    	    1471.500    	  -0.1665025    
   -121.2500    	    43.48315    	    1471.500    	   -1.443737    
   -118.7500    	    43.48315    	    1471.500    	   0.0000000E+00
   -121.2500    	    35.39326    	    1481.500    	    5.044852    
   -118.7500    	    35.39326    	    1481.500    	    3.244388    
   -121.2500    	    37.41573    	    1481.500    	    4.049629    
   -118.7500    	    37.41573    	    1481.500    	    2.590696    
   -121.2500    	    39.43820    	    1481.500    	  -0.6026405    
   -118.7500    	    39.43820    	    1481.500    	   -1.411084    
   -121.2500    	    41.46067    	    1481.500    	  -0.8998449    
   -118.7500    	    41.46067    	    1481.500    	   -1.527192    
   -121.2500    	    43.48315    	    1481.500    	  -0.5920333    
   -118.7500    	    43.48315    	    1481.500    	   -1.273548    
   -121.2500    	    35.39326    	    1482.500    	    4.475915    
   -118.7500    	    35.39326    	    1482.500    	    2.715139    
   -121.2500    	    37.41573    	    1482.500    	    3.440622    
   -118.7500    	    37.41573    	    1482.500    	    1.940654    
   -121.2500    	    39.43820    	    1482.500    	   -1.079190    
   -118.7500    	    39.43820    	    1482.500    	   -2.044859    
   -121.2500    	    41.46067    	    1482.500    	   -1.562440    
   -118.7500    	    41.46067    	    1482.500    	   -2.371488    
   -121.2500    	    43.48315    	    1482.500    	   -1.207142    
   -118.7500    	    43.48315    	    1482.500    	   -2.159524    
   -121.2500    	    35.39326    	    1483.500    	    3.921657    
   -118.7500    	    35.39326    	    1483.500    	    2.269762    
   -121.2500    	    37.41573    	    1483.500    	    2.945978    
   -118.7500    	    37.41573    	    1483.500    	    1.480140    
   -121.2500    	    39.43820    	    1483.500    	   -1.253463    
   -118.7500    	    39.43820    	    1483.500    	   -2.282500    
   -121.2500    	    41.46067    	    1483.500    	   -1.907371    
   -118.7500    	    41.46067    	    1483.500    	   -2.777300    
   -121.2500    	    43.48315    	    1483.500    	   -1.670706    
   -118.7500    	    43.48315    	    1483.500    	   -2.779560    
   -121.2500    	    35.39326    	    1493.500    	  -0.4905914    
   -118.7500    	    35.39326    	    1493.500    	  -0.3053470    
   -121.2500    	    37.41573    	    1493.500    	   -1.207211    
   -118.7500    	    37.41573    	    1493.500    	    1.658522    
   -121.2500    	    39.43820    	    1493.500    	   -1.966525    
   -118.7500    	    39.43820    	    1493.500    	  -0.7558423    
   -121.2500    	    41.46067    	    1493.500    	   -1.975565    
   -118.7500    	    41.46067    	    1493.500    	  -0.8195967    
   -121.2500    	    43.48315    	    1493.500    	   -1.776849    
   -118.7500    	    43.48315    	    1493.500    	  -0.9562291    
   -121.2500    	    35.39326    	    1494.500    	  -0.4559427    
   -118.7500    	    35.39326    	    1494.500    	  -0.4539259    
   -121.2500    	    37.41573    	    1494.500    	   -1.261742    
   -118.7500    	    37.41573    	    1494.500    	    1.491259    
   -121.2500    	    39.43820    	    1494.500    	   -2.182219    
   -118.7500    	    39.43820    	    1494.500    	  -0.8888354    
   -121.2500    	    41.46067    	    1494.500    	   -2.327382    
   -118.7500    	    41.46067    	    1494.500    	   -1.160010    
   -121.2500    	    43.48315    	    1494.500    	   -2.340801    
   -118.7500    	    43.48315    	    1494.500    	   -1.771260    
   -121.2500    	    35.39326    	    1495.500    	  -0.5008468    
   -118.7500    	    35.39326    	    1495.500    	  -0.5833111    
   -121.2500    	    37.41573    	    1495.500    	   -1.271341    
   -118.7500    	    37.41573    	    1495.500    	    1.086537    
